1016;2322625;102219;45856
965;2342599;102219;77483
957;2362746;109150;85583
1133;2383065;103089;58750
1368;2403559;100958;86290
1603;2424230;98827;113829
990;2451997;99764;116337
1811;2471990;98174;20131
1543;2490878;98174;15057
1994;2508698;96585;17550
2299;2527087;96565;18557
3044;2544315;95656;22316
3362;2560675;106392;24372
4350;2576596;110187;59975
